seed,Y,c_m,c_n,c_a,strategy,insample_safety,iid_test_safety,oos_safety,audit_fpr,audit_budget_share,use_two_monitor_prob,strategy_params
-1,1.2,1,0.21,20,Optimized with Neyman-Pearson bw = 0.4,0.5179822872545243,0.5179822872545243,0.3795918367346939,0.02510204081632653,0.41836734693877553,0.0,"{""a_m"": 2.2185738486561766, ""p_m"": 0.6979591836734693, ""a_s"": 0.0, ""bandwidth_malign"": 0.4, ""bandwidth_benign"": 0.4, ""Note"": ""kernel estimators not saved""}"
-1,1.3,1,0.21,20,Optimized with Neyman-Pearson bw = 0.4,0.5611474778590682,0.5611474778590682,0.4112244897959184,0.02719387755102041,0.4183673469387756,0.0,"{""a_m"": 2.2185738486561766, ""p_m"": 0.7561224489795919, ""a_s"": 0.0, ""bandwidth_malign"": 0.4, ""bandwidth_benign"": 0.4, ""Note"": ""kernel estimators not saved""}"
-1,1.3,1,0.21,20,Optimized with Neyman-Pearson bw = 0.6,0.3742138364779874,0.3742138364779874,0.15789473684210525,0.015000000000000003,0.23076923076923078,0.0,"{""audit_thresh"": 3.0861197461601817, ""audit_fpr"": 0.015000000000000003, ""audit_budget_share"": 0.23076923076923078, ""in_sample_safety"": 0.3742138364779874, ""bandwidth_malign"": 0.6, ""bandwidth_benign"": 0.6, ""Note"": ""kernel estimators not saved""}"
-1,1.3,1,0.21,20,Optimized with Neyman-Pearson bw = 1,0.2389937106918239,0.2389937106918239,0.2982456140350877,0.015000000000000003,0.23076923076923078,0.0,"{""audit_thresh"": 2.9684181308883426, ""audit_fpr"": 0.015000000000000003, ""audit_budget_share"": 0.23076923076923078, ""in_sample_safety"": 0.2389937106918239, ""bandwidth_malign"": 1, ""bandwidth_benign"": 1, ""Note"": ""kernel estimators not saved""}"
-1,1.5,1,0.21,20,Naive single monitor,0.49056603773584906,0.49056603773584906,0.43859649122807015,0.02456140350877193,0.32748538011695905,0.0,"{""a_m"": 6.999925649036238}"
-1,1.6,1,0.21,20,Naive single monitor,0.6509433962264151,0.6509433962264151,0.49122807017543857,0.02982456140350877,0.3728070175438596,0.0,"{""a_m"": 6.400063490637535}"
-1,1.7,1,0.21,20,Naive single monitor,0.6823899371069182,0.6823899371069182,0.5087719298245614,0.034210526315789476,0.40247678018575855,0.0,"{""a_m"": 6.200077084878585}"
-1,1.8,1,0.21,20,Naive single monitor,0.7610062893081762,0.7610062893081762,0.543859649122807,0.039473684210526314,0.43859649122807015,0.0,"{""a_m"": 5.800224268043031}"
-1,1.9,1,0.21,20,Naive single monitor,0.7924528301886793,0.7924528301886793,0.6140350877192983,0.04473684210526316,0.4709141274238227,0.0,"{""a_m"": 5.599968560758193}"
-1,2.0,1,0.21,20,Naive single monitor,0.8270440251572327,0.8270440251572327,0.6491228070175439,0.05,0.5,0.0,"{""a_m"": 5.400019530229942}"
