seed,Y,c_m,c_n,c_a,strategy,insample_safety,iid_test_safety,oos_safety,audit_fpr,audit_budget_share,use_two_monitor_prob,strategy_params
428,1.2,1,0.21,20,Neyman-Pearson,0.24770642201834864,0.22,0.08771929824561403,0.009999999999999998,0.16666666666666663,0.0,"{""audit_thresh"": 3.2507001562796924, ""audit_fpr"": 0.009999999999999998, ""audit_budget_share"": 0.16666666666666663, ""in_sample_safety"": 0.24770642201834864, ""bandwidth_malign"": 0.36082485735185094, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
428,1.8,1,0.21,80,Neyman-Pearson,0.24770642201834864,0.22,0.08771929824561403,0.01,0.4444444444444445,0.0,"{""audit_thresh"": 3.2507001562796924, ""audit_fpr"": 0.01, ""audit_budget_share"": 0.4444444444444445, ""in_sample_safety"": 0.24770642201834864, ""bandwidth_malign"": 0.36082485735185094, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
427,26.6,1,0.21,2560,Neyman-Pearson,0.23853211009174313,0.36,0.15789473684210525,0.01,0.9624060150375939,0.0,"{""audit_thresh"": 3.1458574089150764, ""audit_fpr"": 0.01, ""audit_budget_share"": 0.9624060150375939, ""in_sample_safety"": 0.23853211009174313, ""bandwidth_malign"": 0.36082485735185094, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
427,4.2,1,0.21,320,Neyman-Pearson Stochastic,0.28939881273610363,0.3605082352941177,0.1383529411764706,0.011364705882352942,0.8658823529411765,0.0,"{""a_m"": 2.976514798745705, ""p_m"": 0.5632941176470588, ""a_s"": 0.0, ""bandwidth_malign"": 0.36082485735185094, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
427,13.8,1,0.21,1280,Neyman-Pearson Stochastic,0.2643065864239384,0.32925049051667754,0.1263570961412688,0.01037933289731851,0.9627207325049052,0.0,"{""a_m"": 2.976514798745705, ""p_m"": 0.5144538914323087, ""a_s"": 0.0, ""bandwidth_malign"": 0.36082485735185094, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
427,7.4,1,0.21,640,Neyman-Pearson Stochastic,0.2732718627439638,0.3404186633039092,0.1306431273644388,0.01073139974779319,0.9281210592686001,0.0,"{""a_m"": 2.976514798745705, ""p_m"": 0.5319041614123581, ""a_s"": 0.0, ""bandwidth_malign"": 0.36082485735185094, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
432,13.8,1,0.21,1280,Naive single monitor,0.0779816513761468,0.18,0.24561403508771928,0.009649122807017544,0.8949911009407577,0.0,"{""a_m"": 7.800106661451009}"
432,26.6,1,0.21,2560,Naive single monitor,0.0779816513761468,0.18,0.24561403508771928,0.009649122807017544,0.9286373829310117,0.0,"{""a_m"": 7.800106661451009}"
433,1.1,1,0.21,10,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.08771929824561403,0.0,"{""a_m"": 7.800106661451009}"
428,2.6,1,0.21,160,Neyman-Pearson,0.24770642201834864,0.22,0.08771929824561403,0.01,0.6153846153846154,0.0,"{""audit_thresh"": 3.2507001562796924, ""audit_fpr"": 0.01, ""audit_budget_share"": 0.6153846153846154, ""in_sample_safety"": 0.24770642201834864, ""bandwidth_malign"": 0.36082485735185094, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
