seed,Y,c_m,c_n,c_a,strategy,insample_safety,iid_test_safety,oos_safety,audit_fpr,audit_budget_share,use_two_monitor_prob,strategy_params
-1,0.05,1,1e-06,20,BB monitor only,0.011137015194810663,0.011137015194810663,0.011137015194810663,0.0013670185153140683,0.5468074061256273,0.0,"{""a_m"": 1.4698906325953365, ""p_m"": 0.02265962969371864, ""a_s"": 0.0, ""bandwidth_malign"": 0.2661182443773148, ""bandwidth_benign"": 0.21946266448185572, ""Note"": ""kernel estimators not saved""}"
-1,0.1,1,1e-06,20,BB monitor only,0.022274030389621325,0.022274030389621325,0.022274030389621325,0.0027340370306281367,0.5468074061256273,0.0,"{""a_m"": 1.4698906325953365, ""p_m"": 0.04531925938743728, ""a_s"": 0.0, ""bandwidth_malign"": 0.2661182443773148, ""bandwidth_benign"": 0.21946266448185572, ""Note"": ""kernel estimators not saved""}"
-1,0.05,1,1e-06,20,Probe monitor only,0.32446586430566277,0.32446586430566277,0.32446586430566277,0.0024999500104739563,0.9999800041895824,0.0,"{""a_m"": 3.0286881270634285, ""p_m"": 0.9997905208276191, ""a_s"": 0.00020947917238089975, ""bandwidth_malign"": 0.2661182443773148, ""bandwidth_benign"": 0.21946266448185572, ""Note"": ""kernel estimators not saved""}"
-1,0.1,1,1e-06,20,Probe monitor only,0.4054270510796798,0.4054270510796798,0.4054270510796798,0.004999950001820294,0.9999900003640588,0.0,"{""a_m"": 2.6854452639821895, ""p_m"": 0.9999635959114477, ""a_s"": 3.640408855232202e-05, ""bandwidth_malign"": 0.2661182443773148, ""bandwidth_benign"": 0.21946266448185572, ""Note"": ""kernel estimators not saved""}"
-1,0.2,1,1e-06,20,BB monitor only,0.04454806077924265,0.04454806077924265,0.04454806077924265,0.005468074061256273,0.5468074061256273,0.0,"{""a_m"": 1.4698906325953365, ""p_m"": 0.09063851877487455, ""a_s"": 0.0, ""bandwidth_malign"": 0.2661182443773148, ""bandwidth_benign"": 0.21946266448185572, ""Note"": ""kernel estimators not saved""}"
-1,0.2,1,1e-06,20,Probe monitor only,0.4602380080859011,0.4602380080859011,0.4602380080859011,0.009999951500235225,0.9999951500235224,0.0,"{""a_m"": 2.4628089682817933, ""p_m"": 0.9699952955228168, ""a_s"": 0.0, ""bandwidth_malign"": 0.2661182443773148, ""bandwidth_benign"": 0.21946266448185572, ""Note"": ""kernel estimators not saved""}"
-1,0.05,1,1e-06,20,Two monitors,0.6056056056056056,0.6056056056056056,0.6056056056056056,0.0007636502481863307,0.30546009927453227,0.029782359679266894,"{""top_thresh"": 2.177982091398775, ""bot_thresh"": 1.2254352380025721, ""audit_thresh"": 4.076527056436107, ""N_first"": true, ""bandwidth_2d"": ""silverman"", ""bandwidth_1d"": ""silverman"", ""bandwidth_2d_malign"": 0.3162805014110954, ""bandwidth_2d_benign"": 0.26934613640962246, ""bandwidth_alpha_attack"": 0.2661182443773148, ""bandwidth_beta_attack"": 0.2661182443773148, ""bandwidth_alpha_benign"": 0.21946266448185572, ""bandwidth_beta_benign"": 0.21946266448185572}"
-1,0.1,1,1e-06,20,Two monitors,0.7417417417417418,0.7417417417417418,0.7417417417417418,0.002290950744558992,0.45819014891179843,0.050019091256204656,"{""top_thresh"": 2.177982091398775, ""bot_thresh"": 0.8791793665605179, ""audit_thresh"": 2.3425361967321874, ""N_first"": true, ""bandwidth_2d"": ""silverman"", ""bandwidth_1d"": ""silverman"", ""bandwidth_2d_malign"": 0.3162805014110954, ""bandwidth_2d_benign"": 0.26934613640962246, ""bandwidth_alpha_attack"": 0.2661182443773148, ""bandwidth_beta_attack"": 0.2661182443773148, ""bandwidth_alpha_benign"": 0.21946266448185572, ""bandwidth_beta_benign"": 0.21946266448185572}"
-1,0.2,1,1e-06,20,Two monitors,0.8158158158158159,0.8158158158158159,0.8158158158158159,0.006491027109583811,0.649102710958381,0.06529209621993128,"{""top_thresh"": 2.177982091398775, ""bot_thresh"": 0.6270398970512986, ""audit_thresh"": 1.2410844829205425, ""N_first"": true, ""bandwidth_2d"": ""silverman"", ""bandwidth_1d"": ""silverman"", ""bandwidth_2d_malign"": 0.3162805014110954, ""bandwidth_2d_benign"": 0.26934613640962246, ""bandwidth_alpha_attack"": 0.2661182443773148, ""bandwidth_beta_attack"": 0.2661182443773148, ""bandwidth_alpha_benign"": 0.21946266448185572, ""bandwidth_beta_benign"": 0.21946266448185572}"
